classification_notes,classification_viewOfferedOnMarriedWomensWork,classification_wasTheMarriedWomensWorkDiscussedIncontextOfMotherhood,classification_occupation,classification_skilled_unskilled,contextText,location_fromMOH,location_current,location_latitude,location_longitude,source_bNumber,source_fileName,source_url,searchCriteria_type,searchCriteria_bigram,searchCriteria_list1,searchCriteria_list2,time_year,xxx_notes,location_mohPlace
0,0,0,0,0.0,"frequent visits have been paid to houses with the result that drinking water cisterns are now rarely found connected to water closets. dustbins are regularly emptied. manure is not allowed to accumulate, and domestic animals are not kept in wash houses and other unsuitable premises. a large proportion of the women of brentford are engaged in market gardens, laundries and other occupations which take them from home all day and i consider this one of the principal causes of the excessive number of deaths in infants. young children are left for hours together to the care of others very little",BrentfordandChiswick,Hounslow,51.468495,-0.366134,b19968541,BrentfordandChiswick.1893.b19968541.txt,http://wellcomelibrary.org/item/b19968541,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1893,Appears under 'Other Sanitary Work',Brentford and Chiswick (England)
0,0,0,0,0.0,"district. the oldest industry, and at one time the most important, and almost the sole one, is the laundry industry. this industry has been established in the district for nearly half a century, and absorbs a large number of workers. in august 1915, there were 1048 single and 1640 married women employed in the laundry industry. it is probable that this number was exceeded ten years ago, and it is likely that at the present time fewer persons are employed than in 1915. the introduction of labour saving machinery has had the effect of closing most of the hand laundries,",Acton,Ealing,51.522475,-0.331026,b19783498,Acton.1919.b19783498.txt,http://wellcomelibrary.org/item/b19783498,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1919,0,"Acton (London, England)"
0,0,0,0,0.0,"in the area during 1950, except that towards the end of the year there were signs of expansion in the aircraft industry. there was a very large and constant demand for skilled engineers' machinists which it was impossible to meet. there was difficulty too in meeting the constant demand for women for laundries and factories. some firms were arranging part-time evening shifts 6 p.m. to 10 p.m. for women who were unable to leave their homes during the day. we are indebted to the manager of the local employment exchange for this encouraging information, and for the fact that the",KingstonuponThames,Kingston upon Thames,51.387906,-0.2869,b19875125,KingstonuponThames.1950.b19875125.txt,http://wellcomelibrary.org/item/b19875125,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1950,0,"Kingston upon Thames (London, England)"
0,0,0,0,0.0,"money. other monetary gifts included grants to two patients for the cost of occupational therapy materials, and to one patient for the cost of a refresher course in shorthand and typewriting. the removal expenses of one patient were paid, 61 another was provided with money for shoe repairs, two married women were granted money to pay their weekly laundry bills, and another was supplied with coal. several other special grants were made, parcels of secondhand clothing received from individuals and local organisations were distributed to needy families, and in ten cases the committee purchased christmas gifts for children. mass radiography.",MertonandMorden,Merton,51.40995,-0.197252,b19882749,MertonandMorden.1950.b19882749.txt,http://wellcomelibrary.org/item/b19882749,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1950,Reference to shorthand and typewriting course almost certainly applies to a woman,MertonandMorden
0,0,0,0,0.0,"year the unemployed register had been increased by men from the building trades (mainly painters) who were affected by seasonal slackness—otherwise the register consisted generally of older men and those who were limited to light work owing to disabilities. on the women's side the register contained a number of married women seeking part-time work and others who wanted certain kinds of employment for which there was little demand. it was possible to place a few part-time workers, with local laundries on evening work and also with a large bakery. with the improved weather in april the position changed appreciably and",Orpington,Bromley,51.371999,0.051524,b1979325x,Orpington.1951.b1979325x.txt,http://wellcomelibrary.org/item/b1979325x,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1951,0,"Orpington (London, England)"
Woman's duty as housewife,0,0,0,0.0,"hydrocephalus 67 debility from premature birth 45 teething45 violent deaths 44 tabes mesenterica 40 scarlatina 32 how many of these children might have been preserved to an useful life, if poverty had not engendered apathy and ignorance neglect ? how much infant mortality throughout the country might in future be avoided, were the poor man's dwelling pervaded by a sweeter atmosphere ? how much were the daughters of the poor not merely instructed in our schools but educated,—educated to refuse the evil and choose the good; educated to the homely work of that station of life to which each future wife and mother is destined ? how much, if the state were to withdraw its patronage from the nostrum-monger, and to discountenance the sale of infant poisons? if ever this opprobium of our civilization is to be wiped off, the clergyman, the district visitor, and the schoolmistress, must join in the efforts of the professional sanitarian. 17. tables v. and vi. show where during the year the infant mortality has been most remarkable. you cannot fail to notice, in how many instances the locality of high infant mortality has corresponded with that of high mortality from zymotic diseases. sickness. 18.",IslingtonMetropolitanBorough,Islington,51.548487,-0.110251,b18248573,IslingtonMetropolitanBorough.1857.b18248573.txt,http://wellcomelibrary.org/item/b18248573,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1857,0,"Islington, Metropolitan Borough of"
0,0,0,0,0.0,"the sanitary authority, and in what direction that power is deficient, and could profitably be strengthened by further legislation. a few of the causes of this high mortality are, i am afraid, irremediable, and hopelessly beyond the control of any sanitary authority. though aware of these conditions being beyond our control, yet that you may gauge their relative importance, i have recorded some of these, and shall briefly discuss them first. they may be divided into 6 groups:— 1. poverty. 2. illegitimacy. 3. overlaying. 4. unhealthy surroundings 5. hereditary diseases. 6. insurance. i. poverty.—on account of poverty and other causes, wives work in factories, &c., even when pregnant. they are known to work up to within a day or two of their confinement. these conditions expose the mother to all sorts of risks, and very often cause the child to be prematurely born. in 1898, 33 deaths were registered as being due to prematurity. the following list will give you the length of time the child lived:— 5 lived less than 1 hour. 6 „ from 1 hour to 24 hours. 9 „„1 day to 1 week. 9 „ „ 1 week to 1 month. 4 „ „ 1 month",Limehouse,Tower Hamlets,51.515741,-0.034662,b18223096,Limehouse.1898.b18223096.txt,http://wellcomelibrary.org/item/b18223096,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1898,0,Limehouse
0,0,0,0,0.0,"to go into the streets, but wait for the ambulance to take him away. in spite of this being repeated to him several times, he persisted in leaving the hospital. no action was taken as the patient was seriously ill. continued and typhus fevers. one case of continued fever was notified in bromley, the patient, a man aged 40 years, was removed into the eastern fever hospital, but three days afterwards he was certified to be suffering from typhus fever. he was employed casually as a boilermaker and stevedore. he had been working on board ship in the docks. the wife who was an outworker, had her work stopped, and the garments she had in hand were disinfected before being returned to the workshop. typhoid fever. the typhoid fever cases notified were : — 1893. 1894. 1895. 1896. 1897. 1898. 1899. i900. poplar 80 72 56 85 61 68 143 90 bromley 218 84 80 68 87 51 92 1oo totals 298 156 136 153 148 119 235 190 32 1894. 1895. 1896. 1897. 1898. 1899. 1900 isleof dogsor south poplar 30 27 60 29 43 73 43 north poplar 42 29 25 32 25 70 47 south bromley 32",PoplarandBromley,Tower Hamlets,51.515741,-0.034662,b18245754,PoplarandBromley.1900.b18245754.txt,http://wellcomelibrary.org/item/b18245754,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1900,0,"Poplar, Bromley, South District comprising the parishes of All Saints Poplar and Bromley Saint Leonard"
0,0,0,0,0.0,"in ""their trade is so costly that no man can afford to have the whole of ""it; he therefore borrows from his friends, and they have to borrow ""three or four times in the course of the day. then there are the "" women who must take their work home, such as those who work "" for the city tailors, and the girls who are employed in small ""factories, such as those for artificial flowers this "" precarious element in the struggle for employment is thus a most ""powerful cause of the pressure upon habitable space ""the subsidiary employment of wife and children has to be taken ""into consideration when the poor choose a place of residence. ""whatever the contributions of these members of a family may be ""to the maintenance of the household, there is no doubt that the ""work of charwoman, of seamstress, and the labour in which ,,children are employed, attract great numbers to the densely 80 ""populated districts which provide such employment, and away ""from the suburbs where such work would be out of reach. there ""is, moreover, to be considered the difficulty many of the poor have ""in moving from a neighbourhood on account of",Finsbury,Islington,51.548487,-0.110251,b18038542,Finsbury.1900.b18038542.txt,http://wellcomelibrary.org/item/b18038542,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1900,0,"Finsbury (London, England)"
0,0,0,0,0.0,"branches, and is provided with a four-inch sluice valve which would be opened to supply the three hydrants in case of fire. the medical and nursing staff consist of medical superintendent (non-resident), matron (nursing), two staff nurses, and one probationer nurse; and the domestic staff of cook, wardmaid, laundry maid, housemaid, and entrance lodge porter and his wife. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry, etc. visitors are allowed to visit patients on sundays from two to four o'clock, but are only allowed to communicate with the patients through the windows. if any patient is dangerously ill, special arrangements are made. the name of every person entering or leaving the premises, and the time of entry and exit, are entered in a book at the porter's lodge. patients from outside districts are admitted when there is sufficient accommodation for them ; the authorities of the districts from which they come paying the southgate council for their maintenance. the",Southgate,Enfield,51.650995,-0.087272,b19794770,Southgate.1905.b19794770.txt,http://wellcomelibrary.org/item/b19794770,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1905,0,"Southgate (London, England)"
