classification_notes,classification_viewOfferedOnMarriedWomensWork,classification_wasTheMarriedWomensWorkDiscussedIncontextOfMotherhood,classification_occupation,classification_skilled_unskilled,contextText,location_fromMOH,location_current,location_latitude,location_longitude,source_bNumber,source_fileName,source_url,searchCriteria_type,searchCriteria_bigram,searchCriteria_list1,searchCriteria_list2,time_year,xxx_notes,latitude,longitude
,Negative,Yes,Laundry,Unskilled,"A large proportion of the women of brentford are engaged in market gardens, laundries and other occupations which take them from home all day and I consider this one of the principal causes of the excessive number of deaths in infants. Young children are left for hours together to the care of others very little older than themselves and are consequently generally neglected.",BrentfordandChiswick,Hounslow,0,0,b19968541,BrentfordandChiswick.1893.b19968541.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19968541/0,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1893,Appears under 'Other Sanitary Work',51.468495,-0.366134
0,Not applicable/No view,No,Laundry,Unskilled,"the oldest industry, and at one time the most important, and almost the sole one, is the laundry industry. this industry has been established in the district for nearly half a century, and absorbs a large number of workers. in august 1915, there were 1048 single and 1640 married women employed in the laundry industry. it is probable that this number was exceeded ten years ago, and it is likely that at the present time fewer persons are employed than in 1915.",Acton,Ealing,0,0,b19783498,Acton.1919.b19783498.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783498/0,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1919,0,51.522475,-0.331026
,Not applicable/No view,Yes,"Laundry, Factory",Unskilled,"In the area during 1950, except that towards the end of the year there were signs of expansion in the aircraft industry. there was a very large and constant demand for skilled engineers' machinists which it was impossible to meet. There was difficulty too in meeting the constant demand for women for laundries and factories. Some firms were arranging part-time evening shifts 6 p.m. to 10 p.m. for women who were unable to leave their homes during the day. We are indebted to the manager of the local employment exchange for this encouraging information[.]",KingstonuponThames,Kingston upon Thames,0,0,b19875125,KingstonuponThames.1950.b19875125.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19875125/0,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1950,0,51.387906,-0.2869
0,Not applicable/no view,No,"Laundry, Unspecified, Other","Unskilled, Skilled","on the women's side the register contained a number of married women seeking part-time work and others who wanted certain kinds of employment for which there was little demand. it was possible to place a few part-time workers, with local laundries on evening work and also with a large bakery. ",Orpington,Bromley,0,0,b1979325x,Orpington.1951.b1979325x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1979325x/0,AnyTermInList1 AND AnyTermInList2,None,"woman,women","laundry, laundries",1951,0,51.371999,0.051524
,Negative,Yes,Unspecified,Unspecified,"he was employed casually as a boilermaker and stevedore. he had been working on board ship in the docks. the wife who was an outworker, had her work stopped, and the garments she had in hand were disinfected before being returned to the workshop.",IslingtonMetropolitanBorough,Islington,0,0,b18248573,IslingtonMetropolitanBorough.1857.b18248573.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18248573/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1857,0,51.548487,-0.110251
0,Negative,Yes,Factory,Unskilled,"a few of the causes of this high mortality are, i am afraid, irremediable, and hopelessly beyond the control of any sanitary authority. though aware of these conditions being beyond our control, yet that you may gauge their relative importance, i have recorded some of these, and shall briefly discuss them first. they may be divided into 6 groups:— 1. poverty. 2. illegitimacy. 3. overlaying. 4. unhealthy surroundings 5. hereditary diseases. 6. insurance. i. poverty.—on account of poverty and other causes, wives work in factories, &c., even when pregnant. they are known to work up to within a day or two of their confinement. these conditions expose the mother to all sorts of risks, and very often cause the child to be prematurely born.",Limehouse,Tower Hamlets,0,0,b18223096,Limehouse.1898.b18223096.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18223096/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1898,0,51.515741,-0.034662
0,Not applicable/no view,No,Outwork,Unskilled,"he was employed casually as a boilermaker and stevedore. he had been working on board ship in the docks. the wife who was an outworker, had her work stopped, and the garments she had in hand were disinfected before being returned to the workshop.",PoplarandBromley,Tower Hamlets,0,0,b18245754,PoplarandBromley.1900.b18245754.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18245754/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1900,0,51.515741,-0.034662
,Negative,Yes,"Outwork, Domestic Service, Other",Unskilled,"Then there are the "" women who must take their work home, such as those who work "" for the city tailors, and the girls who are employed in small ""factories, such as those for artificial flowers this "" precarious element in the struggle for employment is thus a most ""powerful cause of the pressure upon habitable space ""the subsidiary employment of wife and children has to be taken ""into consideration when the poor choose a place of residence. ""whatever the contributions of these members of a family may be ""to the maintenance of the household, there is no doubt that the ""work of charwoman, of seamstress, and the labour in which children are employed, attract great numbers to the densely ""populated districts which provide such employment, and away ""from the suburbs where such work would be out of reach. ",Finsbury,Islington,0,0,b18038542,Finsbury.1900.b18038542.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18038542/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1900,0,51.548487,-0.110251
0,Not applicable/no view,No,"Laundry, Other",Unskilled,"the medical and nursing staff consist of medical superintendent (non-resident), matron (nursing), two staff nurses, and one probationer nurse; and the domestic staff of cook, wardmaid, laundry maid, housemaid, and entrance lodge porter and his wife. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry, etc. visitors are allowed to visit patients on sundays from two to four o'clock, but are only allowed to communicate with the patients through the windows.",Southgate,Enfield,0,0,b19794770,Southgate.1905.b19794770.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19794770/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1905,0,51.650995,-0.087272
,Negative,Yes,Factory,Unskilled,"want of knowledge on the part of the mother results in improper feeding and clothing,  and should intemperance be added to ignorance there is privation and neglect. Poverty brings yet another evil result, for should the natural breadwinner be absent or out of employment the wife must surrender her maternal duties in order to do her part towards the support of the family. the law certainly prohibits the employment of a woman in a factory or workshop for the four weeks subsequent to her confinement, and is good (when not evaded) so far; but the month old infant deprived of maternal care and natural food has its chance of surviving enormously diminished. A large number of the infantile deaths in bethnal green are amongst the bottle fed children of working class parents. The poverty which compels mothers to go out to work transfers their infants, that should be suckled, to the charge of incompetent nurses (very often mere children themselves) and causes them to be fed on condensed milk or patent foods from dirty bottles with foul rubber tubes. Worse still, morsels of whatever food is at hand are administered to the unfortunate infant, with the intention to soothe it, but with frequently fatal results. ",BethnalGreen,Tower Hamlets,0,0,b18044712,BethnalGreen.1905.b18044712.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18044712/0,AnyTermInList1 AND AnyTermInList2,None,"wife,wives","employment,employed,employee,work,working,worked,job,occupation",1905,0,51.515741,-0.034662
