contextText,location_fromMOH,searchCriteria_bigram,searchCriteria_type,source_bNumber,source_fileName,time_year
"chest (excluding phthisis), the result of exposure, and from miasmatic diseases, probably derived from their residences. They exhibit a high proportion of fatal liver disease. The high proportion of heart disease is probably the result, through rheumatism or bronchitis, of exposure to cold and we.t. 16. Schoolmasters.—Only a small proportion of these died, the expectation of life, from our limited experience, being 34 years. b. FEMALES. The rate of mortality of females following industrial occupations cannot be estimated, nor yet, fairly, the average age at death, in consequence of the imperfection of the mortuary returns, which in the instance of married women do not in all cases specify the occupation followed. The particulars as to the cause of death, as given in Table XIV., are open to fewer crbjections on this score. Dressmakers and Milliners appear to die to a large extent from consumption, 42 per cent, of the deaths being attributable to this cause. There is no difficulty in associating this with the damage inflicted upon the health from excessive and late hours of work in close, crowded, and confined rooms, together with deficient bodily exercise. The large proportion of young persons following these occupations, who at a later",IslingtonMetropolitanBorough,"married,women",bigram search,b18248640,IslingtonMetropolitanBorough.1864.b18248640.txt,1864
"class, are now becoming absolutely essential to preserve healthy vitality, and save the risk which threatens large numbers of persons from a gradual degeneration. Abundant proof of this can be found in the more thickly populated parts of this wealthy Parish. A few hundred pounds would be amply repaid in health and in having the satisfaction of some benefit for rates, while the diminution of pauperism would soon be manifest. 25 Female Labour. Female labour is on a very unsatisfactory footing— young women living at home with their parents, certainly earn wages which contribute partly to their maintenance ; some married women work far below the fair value of labour to supplement the wages of a husband whose work is casual and uncertain, often from drunkenness ; female labour even attempts to compete with manufacturing establishments ; some married women again, who erroneously desire to utilize their spare time in working for shops, neglect domestic duties, and thus lower the price of female labour of single women. The worst cases, however, are those of the solitary sempstress, prolonging her hours of work in a small close room, or working by candle light, far into the night, bringing about some debilitating",Paddington,"married,women",bigram search,b19955212,Paddington.1870.b19955212.txt,1870
"as against an average of 720 during a similar period. Very many thousand circulars addressed to ""heads of families"" in the richer parts of the parish, led to the re-vaccination of large numbers of domestic servants. It is said, however, that ""mechanics and the labouring classes are apparently careless ""about re-vaccination, • even when small-pox has broken out in the house."" To facilitate 90 re-vaccination the Guardians opened a temporary night station at Cathcart Road, in the south district, and made provision for late attendance at the public station in the north district. Proceedings were taken in two cases against married women for offences under the Births and Deaths Registration Act, viz., false statements given to the Registrar on the occasion of registering a birth, the object of falsifying the Register being to evade the vaccination of children. In the first case the woman was convicted, but the judge, whose opinions on the vaccination question are pronounced, imposed the nominal punishment of two days imprisonment, the offender being at once discharged. In the other case the offender pleaded guilty, and having been severely censured by the judge, was liberated on her entering into recognizances to come up for judgment when",Kensington,"married,women",bigram search,b19824221,Kensington.1880.b19824221.txt,1880
"2 11 1 14 Suicidal Causes. Haemorrhage from cut throat with razor 2 ... ... 2 Hanging ... ... 1 1 Poison cyanide of potassium, 1 ... ... 2 2 prussic acid 1 Wilful Causes. Strangulation ... ... 1 1 Haemorrhage from cord by neglect of mother ... 1 1 2 Suffocation 1 ... ... 1 Ditto (from fire) ... 2 ... 2 Total 15 56 17 88 c 2 36 The British Lying-in Hospital, Endell Street. The following statistics refer to this hospital, which continues under its able management to render valuable assistance to a number of deserving poor married women during their confinement. During the year 142 women were delivered of 139 children born alive and 3 still-born; of the living children 67 were males, and 72 females. Only 17 of the mothers were parishioners, viz., 5 of St. George, Bloomsbury; 6 of St. Giles, South; and 6 of St. Giles, North. The remaining 122 resided in various metropolitan parishes before they came into the hospital for their confinement. There were 5 deaths (non-parishioners) in the hospital, viz., 3 mothers and 2 children; of the mothers, one died, aged 39, from placenta prsevia; another, aged 27, from pneumonia;",StGilesCamden,"married,women",bigram search,b19875757,StGilesCamden.1880.b19875757.txt,1880
"of Hackney since 1841, and shews indirectly the great increase of our population by the augmented number of our births and deaths. During the 10 years, 1841-50, the mean annual number of births was 1,398, and of deaths 946; in 1861-70, the mean annual number of births was 3,440, and of deaths, 2,182; and in 1882 there were 6,423 births to 3,505 deaths registered 16 in the district. The birth rate as compared with the death rate has, with a few exceptions, kept continually increasing sinoe 1841, shewing that, as oompared with the rest of the population, the number of married women at child-bearing ages has increased very considerably since that year. In 1841-50 there were 148 births to 100 deaths; in 1851-60, there were 159 births to each 100 deaths; in 1861-70, there were 157 births to 100 deaths; in 1871-80, there were 178 births to the same number of deaths; and in 1882 as many as 183 births to 100 deaths. The death rate per 1000 population has remained nearly the same during the whole of this period, so that the increased ratio of births to deaths has not been caused to any marked extent by variations in",Hackney,"married,women",bigram search,b19885350,Hackney.1882.b19885350.txt,1882
"counsel, in reply, only remarked that that case was not then in question, and it was not heard of again. The history of this sad affair was very fully set out in several of my monthly reports, and in a special report, (No. 6, May 21, page 45), I gave a summary of the proceedings at the Police Court, &c. The only satisfactory result of the proceedings, was, that the midwife, conscious of her wrong doing, and fearing that further action might be taken ; having, moreover, lost her business, owing to the strong feeling excited against her among the married women in her usual field of practice, quitted the parish.] Class 2.—Parasitic Diseases. Includes Thrush and other vegetable parasitic diseases; 6 deaths, 4 of them in the Town district, and 5 under 1 year of age, and ""Worms, Hydatids, and other animal parasitic 72 diseases,"" no deaths having been registered from these latter causes. Class 3.—Dietic Diseases Were the causes of 18 deaths, 12 of them in the Town subdistrict. Want of breast milk was the cause of 8 deaths. To Scurvy no death was assigned. Chronic alcoholism and delirium tremens were the registered causes of 8 and 2",Kensington,"married,women",bigram search,b19824257,Kensington.1883.b19824257.txt,1883
"an epitome of the chief vital statistics of Hackney and London since 1841, as far as they are obtainable, and it also shows very plainly the great increase in our population since 1841. Thus, the average number of births in the 10 years, 1841-50, was 1,398, whilst in 1883 it was the largest recorded, viz. : 6,502. The mean number of deaths in 1841-50 was 948, in 1883, 3,545 ; the ratio of births to deaths in 1841-50 was 148, and 183 in 1883. This difference in the ratios of births to deaths arises from the much greater number of married women in Hackney now, and the much smaller proportion of servants at present living in Hackney as compared with the number in 1841-50. The number of births to each 100 deaths was the same as for 1882, and is in excess of the mean for 1871-80, when it was 177. The death-rate per 1000 population from the 7 chief zymotic diseases in 1883 was the smallest I have ever recorded, as it was only 2.24 against an average of 3.40 in 1871-80, 3.78 in 1861-70, and 3.56 in 1851-60. The nearest approach to it occurred in 1879, when the",Hackney,"married,women",bigram search,b19885362,Hackney.1883.b19885362.txt,1883
"of the deaths occurred at home, and 46 in hospitals, the majority of them at the Western Fever Hospital. The quarterly totals were 30, 25, 37, and 19 respectively (against 7, 10, 30, and 42 in 1888). The ages at death were: under five years 73, including 1 under one year, 13 between one and two, 15 between two and three, 22 between three and four, and 22 between four and five; between five and fifteen there were 35 deaths, of which 30 occurred between five and twelve. The remaining deaths were of a school girl aged 17, and two married women aged 37 and 42 respectively. The recorded cases of illness were 245, against 144 in 1888, the case-mortality being 45'3 per cent. in 1889, against 61.8 in 1888, in which year, probably, there was a larger proportion of concealed cases: but epidemic diseases tend to become less fatal 26 as the epidemic, so to speak, grows old. Of the 245 cases, reported in 1889, 201 were in North Kensingon, i.e., north of Uxbridge Road, and 44 in South Kensington, i.e., the remainder of the Parish south of Uxbridge Road, against 129 and 15 in 1888. The 201 cases",Kensington,"married,women",bigram search,b19824312,Kensington.1889.b19824312.txt,1889
"or women) in a dwelling house where the landlord does not reside, who have been in occupation for the period above named. (c) Lodgers (male) who have for the like period occupied lodgings of the clear yearly value, if let unfurnished, of £10 or upwards. (d) All male persons inhabiting a dwelling house or room by virtue of any office, service, or employment provided the house is not occupied by the person under whom such man serves. (e) Male owners of freehold property in the parish, provided they are not also registered as occupiers. With regard to the qualification of married women as electors, it is provided by sec. 43 that ""A woman shall not be disqualified by marriage for being on any local government rogister of electors, or for being an elector of any local authority, provided that a husband and wife shall not both bo qualified in respect of the same property."" Section 44 contains instructions as to the manner in which the register of parochial electors is to bo prepared. A question here 120 arises as to whether the first election, which is to be held in November next, will be conducted on the register of voters",StJamess,"married,women",bigram search,b19956411,StJamess.1893.b19956411.txt,1893
"known as the Domestic Workshop, and the establishment of Cretches would provide for the occasional absence of the mother, should she get a day's washing or charing. Moreover, it would not be impossible to utilize these establishments for educational purposes, and some plain and simple instructions in the feeding of infants might be given to the mothers who bring children to be taken care of. I have made some enquiries amongst the manufacturers in my district and also amongst the women themselves. I find that the employment of child-bearing women is not very prevalent in large Factories and Workshops. The married women mostly work at home at Boxmaking, Tailoring, or Bootwork. Factory Owners tell me that the proportion of married women among their female hands does not exceed five per cent., and some of these are widows. Occasionally their female hands continue their occupation for a time after marriage, but if they become pregnant they leave the Factory six or eight weeks before the expected confinement. Some employers say they will not be bothered with women who have children and decline to allow them to return, as they are apt to be irregular in attendance, and frequently kept at home",BethnalGreen,"married,women",bigram search,b17997598,BethnalGreen.1893.b17997598.txt,1893
