contextText,location_fromMOH,searchCriteria_bigram,searchCriteria_type,source_bNumber,source_fileName,time_year,list of search terms,search criteria
"chest (excluding phthisis), the result of exposure, and from miasmatic diseases, probably derived from their residences. They exhibit a high proportion of fatal liver disease. The high proportion of heart disease is probably the result, through rheumatism or bronchitis, of exposure to cold and we.t. 16. Schoolmasters.—Only a small proportion of these died, the expectation of life, from our limited experience, being 34 years. b. FEMALES. The rate of mortality of females following industrial occupations cannot be estimated, nor yet, fairly, the average age at death, in consequence of the imperfection of the mortuary returns, which in the instance of married women do not in all cases specify the occupation followed. The particulars as to the cause of death, as given in Table XIV., are open to fewer crbjections on this score. Dressmakers and Milliners appear to die to a large extent from consumption, 42 per cent, of the deaths being attributable to this cause. There is no difficulty in associating this with the damage inflicted upon the health from excessive and late hours of work in close, crowded, and confined rooms, together with deficient bodily exercise. The large proportion of young persons following these occupations, who at a later",IslingtonMetropolitanBorough,"married,women",bigram search,b18248640,IslingtonMetropolitanBorough.1864.b18248640.txt,1864,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"class, are now becoming absolutely essential to preserve healthy vitality, and save the risk which threatens large numbers of persons from a gradual degeneration. Abundant proof of this can be found in the more thickly populated parts of this wealthy Parish. A few hundred pounds would be amply repaid in health and in having the satisfaction of some benefit for rates, while the diminution of pauperism would soon be manifest. 25 Female Labour. Female labour is on a very unsatisfactory footing— young women living at home with their parents, certainly earn wages which contribute partly to their maintenance ; some married women work far below the fair value of labour to supplement the wages of a husband whose work is casual and uncertain, often from drunkenness ; female labour even attempts to compete with manufacturing establishments ; some married women again, who erroneously desire to utilize their spare time in working for shops, neglect domestic duties, and thus lower the price of female labour of single women. The worst cases, however, are those of the solitary sempstress, prolonging her hours of work in a small close room, or working by candle light, far into the night, bringing about some debilitating",Paddington,"married,women",bigram search,b19955212,Paddington.1870.b19955212.txt,1870,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"or women) in a dwelling house where the landlord does not reside, who have been in occupation for the period above named. (c) Lodgers (male) who have for the like period occupied lodgings of the clear yearly value, if let unfurnished, of £10 or upwards. (d) All male persons inhabiting a dwelling house or room by virtue of any office, service, or employment provided the house is not occupied by the person under whom such man serves. (e) Male owners of freehold property in the parish, provided they are not also registered as occupiers. With regard to the qualification of married women as electors, it is provided by sec. 43 that ""A woman shall not be disqualified by marriage for being on any local government rogister of electors, or for being an elector of any local authority, provided that a husband and wife shall not both bo qualified in respect of the same property."" Section 44 contains instructions as to the manner in which the register of parochial electors is to bo prepared. A question here 120 arises as to whether the first election, which is to be held in November next, will be conducted on the register of voters",StJamess,"married,women",bigram search,b19956411,StJamess.1893.b19956411.txt,1893,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"known as the Domestic Workshop, and the establishment of Cretches would provide for the occasional absence of the mother, should she get a day's washing or charing. Moreover, it would not be impossible to utilize these establishments for educational purposes, and some plain and simple instructions in the feeding of infants might be given to the mothers who bring children to be taken care of. I have made some enquiries amongst the manufacturers in my district and also amongst the women themselves. I find that the employment of child-bearing women is not very prevalent in large Factories and Workshops. The married women mostly work at home at Boxmaking, Tailoring, or Bootwork. Factory Owners tell me that the proportion of married women among their female hands does not exceed five per cent., and some of these are widows. Occasionally their female hands continue their occupation for a time after marriage, but if they become pregnant they leave the Factory six or eight weeks before the expected confinement. Some employers say they will not be bothered with women who have children and decline to allow them to return, as they are apt to be irregular in attendance, and frequently kept at home",BethnalGreen,"married,women",bigram search,b17997598,BethnalGreen.1893.b17997598.txt,1893,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"order among registration districts in respect of high birth rate, was working on the basis of a ten years' average which gave the Whitechapel birth rate as 351. If the position of Whitechapel were determined by the figures of the last few years the district would stand higher on the list. The rise in the birth rate may have been influenced by the increase already referred to in the number of persons living in blocks of dwellings, and may again be associated with the increase in foreign immigration. The marriage rate for the year 1893 is 11.8 The percentage of married women under 25 to total population obtained from the census return is, in the Whitechapel district, exceptionally high (2.42) ; St. George-in-the-East alone among registration districts has a greater percentage (2.54). Mr. Booth adopts this as his test of the number of early marriages which he notes "" are very numerous in St. George's East and Whitechapel."" Whitechapel stands first in the list of registration districts in respect of its surplus of unmarried males between 15 and 45 years of age. The death rates per 1,000 living in 1891-2-3 for the Whitechapel district, when corrected for deaths occurring in",LondonCountyCouncil,"married,women",bigram search,b18252436,LondonCountyCouncil.1894.b18252436.txt,1894,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"Walthamstow General Hospital, and the remainder, 17, to various London Hospitals. Factory and Workshop Act.—The number of premises registered under the Factory and Workshop Act has increased from 216 to 501, in consequence of the obligation cast upon authorities to communicate to each other semi-annually the names and addresses of any ""Outworkers"" residing in their respective districts. The work of inspection of these premises is most complicated by the constant changes in the lists, half of each succeeding list consisting of new names in place of the old ones who have ceased to be employed. Many of the outworkers being married women working at home, anxious to add to the family income, work under fair sanitary conditions, and it is rare to find any cause for complaint. The various matters dealt with have been supplied to, and are dealt with in the report of, the Medical Officer of Health. The special premises periodically visited, besides Factories and Workshops, include:— Slaughterhouses 12 Dairies, Cowsheds and Milk Sellers 99 Fishmongers 39 Offensive Trades 3 Only minor causes of complaint were discovered in any of these, which were readily attended to by occupiers when pointed out. The two premises situate in the Northern",Walthamstow,"married,women",bigram search,b19971011,Walthamstow.1902.b19971011.txt,1902,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"the ages of 15 and 45) work out as follows for London and the City of Westminster:— 1881. 1891. 1901. 1902. 1903. City of Westminster 238 210 178 184 172 County of London 283 259 236 233 237 A more exact method of estimating the birth-rate is by calculating it on the number of females living at child-bearing ages, distinguishing married and unmarried, legitimate and illegitimate, The illegitimate births were 186 in 1902 (5.7 of the total births), 150 in 1903 (4.7 of the total births). The legitimate birth-rate calculated on the above lines was equal to 174 per 1,000 married women in 1902, 164 per 1,000 in 1903; the illegitimate rate would equal 4'6 in 1902 and 3'8 in 1903, per 1,000 unmarried women between the ages of 15 and 45. The births are arranged according to the old divisions of the City in Table III., and the comparative rates are shown in Table IV. These are, uncorrected for births outside the City. Deaths. 2,517 deaths were registered in the City in the 52 weeks ending the 2nd January, 1904. After deducting 931 deaths of non-citizens in public institutions in the City, and adding those of 833 citizens who",CityofWestminster,"married,women",bigram search,b18247684,CityofWestminster.1903.b18247684.txt,1903,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"(the lowest). TABLE 5. (Census, 1901.) Of 1,000 Females aged 15-45 Proportion occupied per 1,000. Unmarried. Married. Females 15-45. Married and Widowed, 15 years and upwards. Borough 621 354 534 165 London 524 448 466 172 Kensington 688 284 602 234 Westminster 648 320 629 267 Marylebone 634 334 601 250 Hampstead 708 561 128 Willesden 465 513 377 115 Note.—The Condensed Tables of Occupations do not distinguish the ages of ""married and widowed"" engaged in occupations. No female under 15 years of age was returned as married at the last Census. The birth-rate ought to be calculated on the married women of child-bearing ages, due correction being made for the births of illegitimate children. Unfortunatelv the whole of the data necessary for such correction are not available. In Table 6 rates are given based on all births, and also on legitimate and illegitimate, as far as can be done. The table at present gives but little information ; but continued for a series of years, will afford a clear indication of the changes in the fruitfulness of marriage and the improvement (or deterioration) in the morality of the various districts. The only point to which attention need be called",PaddingtonMetropolitanBorough,"married,women",bigram search,b18245195,PaddingtonMetropolitanBorough.1904.b18245195.txt,1904,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"the Boiler Makers Society members deaths from all causes were 47, from phthisis 38½ wives of members from all causes 43, from phthisis 35½ Among Railway Servants from all causes 44½, from phthisis 36½. Thus we see that the question of the prevention of tuberculosis is of the very utmost importance to Friendly Societies, and to Sick Benefit Societies generally, and, therefore, to working men. A POOR LAW QUESTION. But outside of these Societies there is a huge mass of humanity who have no Society to look to, labourers, persons in casual employment, widows, orphans, and especially single women, or married women deserted by their husbands, who earn a precarious livelihood, and whose ultimate fate is to flee to the workhouses and their infirmaries when disease overtakes them. The prevention of phthisis is, therefore, a great question for those engaged in Poor Law Administration, as well as for Sanitary Authorities. And here let me state that something of this has dawned on the Islington Guardians, for they are now through their Relieving Officers notifying cases of the disease which come under their notice. All of them had, however, previously been removed to hospital or had died. The figures as to",Islington,"married,women",bigram search,b18047257,Islington.1904.b18047257.txt,1904,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"In better social position they form the class of ' delicate' children. ""The majority of 'ill-nourished' children are so from a complexity of causes, of which want of food during school life is a comparatively trivial one. ""Frequently they seem the offspring of people who from inherent want of efficiency, mental or otherwise, have gone to the wall. These most often present evidences of mental slackness, and with this is associated in great measure alcoholism and its associates, want of regular employment, and poor housing. Insufficient rest for the young children is a frequent contributory cause due to housing. ""The married women also have to work, and infants are artificially fed; a want of cheap milk supply leading to the use of tinned milks deficient in fat, and also of preparations of various foods. 'The children are frequently fed on foods which are savoury from containing stimulating extractive matters their debilitated condition leading to their passing over wholesome food which is not tasty. The want of a sufficiency of fat and perhaps sugar is the chief defect noticeable in children's diets. ""Ill-nutrition associated with heredity and home conditions is due to deeper causes than any school feeding yet attempted is",LondonCountyCouncil,"married,women",bigram search,b18252539,LondonCountyCouncil.1904.b18252539.txt,1904,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
