contextText,location_fromMOH,searchCriteria_bigram,searchCriteria_type,source_bNumber,source_fileName,time_year
"and firing. Husband and wife appeared together at the Court, the former having found means to pay the fine; and expressed contrition for their disobedience and gave consent to the children being sent to the hospital, where they did well. Subsequently two other persons, a mother and her recently born infant, were attacked in the same house and both died. Another case in an adjoining house was traced to the same source of infection. The following fatal case excited a good deal of stir at the time, and was the cause of a sharp local outbreak :— The deceased, a single woman about 34 years of age, and apparently ®f morose and eccentric habits, lived alone in a first floor front room in a state of extreme squalor. On Sunday, March 18th, 1877, a female friend called to see her but was not admitted into her room. She opened the *I believe this was the first case in which the additional powers to enforce the removal of cases of infectious diseases had been put in operation. These powers conferred by the Sanitary Acts Amendment Act, 1874 (37 and 38 Vic. cap. 89, sec 51), were rendered necessary by the incompleteness",Kensington,"single,woman",bigram search,b1982418x,Kensington.1876.b1982418x.txt,1876
"house with basement containing doubles in the back additions and one front room, and single women in the rest of the house. The third, consists of three similar houses with a common back-yard, two of these houses are devoted to doubles and single women, and the third to single men. The fourth, which consists of one house, provides for married couples and single women on the first floor and single men on the top floor. The fifth, which consists of two houses, accommodates single men in the upper part of one house, one room of which is devoted to a single woman and a double, and accommodates single women in the upper part of the other, the enlarged addition of the latter being used for doubles. The sixth, which also consists of two houses with a building in the rear, has single women and doubles in each, and the upper part of the building in the rear is devoted to single men. The seventh contains single women only. The eighth consists of two houses having a common back-yard. One house accommodates doubles and single men, and the other single men only. The ninth, consisting of two houses with a common",LondonCountyCouncil,"single,woman",bigram search,b18252461,LondonCountyCouncil.1897.b18252461.txt,1897
"water from cistern in roof space, with defective cover. Chapel Road, Mitoham 7 months M. L. Four in family Frame Food and cows' milk, by bottle. Utensils very clean. Very clean In good condition In good condition, perfect flush. Seaton Road, Mitcham 3 months F. Illeg. None At the breast to five weeks old, then on cows' milk and barley water, given in ordinary feeding bottle. Latterly milk was not boiled. Utensils generally clean. The air of the kitchen was unwholesome at time of visit. Back yard is partly paved W.C. in order. The mother of this child is a single woman who had to go out to work, consequently the child was taken from the breast and left to the care of the occupier of the house during the day. Lilian Road, Mitcham 5 months F. L. Two living On Nestle's Milk and patent barley, in tubeless New house. Kept in a Back yard is paved W.C. is situated in yard, Heaton Road, Mitcham 5 months bottle. Utensils very clean. Condensed milk. very cleanly state. is in good order. The case was the subject of an inquest, the child died somewhat suddenly, and it was alleged by the father",Croydon,"single,woman",bigram search,b19786633,Croydon.1905.b19786633.txt,1905
"Director of Industrial Training eventually agreed to make the necessary arrangements. On completion of the course of training, the co-operation of the Employment Exchange was sought, and a suitable situation found for the man. F (aged 41 years).—This man and his family were specially recommended for accommodation on one of the Estates of the London County Council. A house became available just after his discharge from sanatorium, but he was unable to pay the cost of removal. The Tuberculosis Care Committee applied to the Red Cross Emergency Fund, and the desired assistance was granted. G (aged 34 years).—This patient, a single woman living with her sister-in-law, was without the means to provide herself with clothing for sanatorium. Application was made to the Charity Organisation Society, who made a grant of clothing and money to meet the difficulty. H (aged 68 years).—A widow. No income of her own, but an adopted daughter and an aunt paid the rent of the room she occupied. Application was made to the Charity Organisation Society, and temporary assistance given. The Society afterwards obtained a pension of 10/- a week for the patient, which will continue until she becomes eligible for the Old Age Pension. MATERNITY",PaddingtonMetropolitanBorough,"single,woman",bigram search,b18245341,PaddingtonMetropolitanBorough.1926.b18245341.txt,1926
"that owing to her long confinement to bed she needed a special kind of air ring. She had borrowed money and purchased one, but it was unsatisfactory. The Committee, therefore, arranged with a firm of surgical appliance makers for her to be provided with one made specially for her, from which she derived great comfort—the outstanding debt on the previous one being cleared by the Committee, much to the relief of the patient M.C., aged 50. Patient had been ill and unable to work for four years. During that time she had a period of Sanatorium treatment. She was a single woman living with two sisters. Her parents were dead. The patient had only her National Health Disablement benefit, and the eldest sister had no income at all. She was unable to work but assisted in keeping house. The other sister, who was the breadwinner, was badly in need of a holiday, but she would not consent to go away without her sisters. By dint of careful saving, and by working late she had managed from her small earnings to put aside sufficient to cover the cost of board and lodging for two weeks, but she was finding it difficult",BatterseaMetropolitanBorough,"single,woman",bigram search,b18236261,BatterseaMetropolitanBorough.1933.b18236261.txt,1933
"Committee throughout the year :— M.L., aged 53. A widow living with her daughter, aged 15, in one room, unwilling to receive institutional treatment on account of leaving daughter alone, had no income, was badly in need of clothing, and daughter wished to complete her training at a commercial school. The Committee arranged for care of daughter by relatives with whom they kept in touch. Clothing was supplied and rent of room paid to enable home to be retained. Daughter's fare paid to enable her to visit mother. Separate bed provided for daughter when mother discharged. M.F., aged 58. A single woman living alone in one room, only income disablement benefit, drawing on her savings and unwilling to apply for assistance or accept institutional treatment. The Committee obtained for her extra nourishment, paid her fares for a holiday with relatives and granted her pocket money while there. T.S., aged 24. A labourer living with widowed mother, of whom he was the main support, demurred to institutional treatment on account of his mother. The Committee obtained financial help for the mother throughout son's absence, paid her fares to visit patient at intervals and also obtained his fares home when granted week-end",BatterseaMetropolitanBorough,"single,woman",bigram search,b18236273,BatterseaMetropolitanBorough.1934.b18236273.txt,1934
"be removed from the rooms as he claimed he was perfectly happy but he finally agreed and was admitted to a home for old people. Case B.— Two sisters of 68 and 71 years living in one room which was verminous referred to the Department by their Doctor as both suffered from extensive impetigo of the scalp, and were verminous. They agreed to be admitted to hospital for treatment and while there they were given notice to vacate their rooms and accommodation in a home for old people was found for them by the Area Welfare Officer. Case C.— A single woman of 76 years living alone. There had been complaints from other tenants of the house regarding the insanitary conditions in which 29 she lived, and her doctor referred her to the Department for removal as she was suffering from malnutrition; she refused to go to hospital. The patient was visited and it was found that the home conditions were not sufficiently bad to enforce removal under Sec. 47. It was reported that a friend did shopping for her and another ""tidied up occasionally"". However, a few days later she agreed to be removed to hospital. Case D.—A letter",Hornsey,"single,woman",bigram search,b18249358,Hornsey.1950.b18249358.txt,1950
"under this Section is taken only as a last resort and after extensive enquiries and efforts have been made to keep the old person in his or her own home. To do this, help is obtained from the home nursing and home help services, the meals-on-wheels service of the Womens' Voluntary Service and the Old People's Welfare Committee. Twenty-four persons were referred to the Department from various sources during the year and in only one case was it necessary to obtain a Court Order for removal to a Home. Details of this case are given below. Miss ""A"" was a single woman of 87 years of age who had been known to the Department for about two years. When first brought to our notice she lived alone in one top floor room which was very dirty and neglected and in need of thorough cleansing. The old person herself smelled offensively and had obviously not washed or changed her clothes for some considerable time. There were no known relatives and the only help received by this woman was from the other tenants of the house. Arrangements were made for the room to be cleansed and for a home help to attend",Hornsey,"single,woman",bigram search,b18249395,Hornsey.1954.b18249395.txt,1954
"year. Most of the heart cases were associated with unsuitable accommodation, due to stairs. A typical case was a man of 70 with cardiac 8 weakness who had 24 steps from flat to street to negotiate. He was awarded 30 points towards a Ground Floor flat, although on other grounds of accommodation he had obtained only 5 points. In another instance, a man of 70, whose elderly wife was confined to bed with arthritis, was also awarded 30 points for a ground floor flat, though on other grounds he had obtained only one additional point. In a third case, a single woman with rheumatoid arthritis, who had to carry all water up two flights of stairs from bathroom to kitchen, was awarded 30 points for a ground floor flat, though only 7 points had been awarded on other grounds. There were two other similar cases, but in the remaining 12 recommended ground floor flat accommodations there were considerable additional points up to 85. From the medical causes, it is seen that the applications arise from the type of housing used by old people and children, immobilising the former on top floors and providing too frequent illness for the latter in",Beckenham,"single,woman",bigram search,b19785008,Beckenham.1956.b19785008.txt,1956
"infants, one a girl in her 'teens, two were between the ages of 25 and 45, five between 45 and 65. Pneumonia is still a disease to be reckoned with and more needs to be done towards its prevention. Bronchitis: Much the same can be said about this cause of death. Only 32 of the 67 deaths were persons over the age of 75. One infant was carried off, one school child, and one young man. Bronchitis is much commoner in men, partly because more men work in very dusty conditions and partly because more men smoke cigarettes. Not a single woman died from bronchitis in Edmonton under the age of 65 but nine men died. Between the ages of 65 and 75 there were three times as many deaths from bronchitis among men as among women. As I have said before women who do not wish to be widows should not buy their husbands cigarettes. TABLE VII ACCIDENTS VIOLENT DEATHS 1962 - (Excluding Road Traffic Accidents) Date Sex Age Cause Verdict 27.4.62 M 2/12 Asphyxia while in bed with both parents Misadventure 7.3.62 M 43 Fell down steps Accidental 6.3.62 M 46 Head injuries due to accident Accidental 28.2.62",Edmonton,"single,woman",bigram search,b1978904x,Edmonton.1962.b1978904x.txt,1962
