contextText,location_fromMOH,searchCriteria_list1,searchCriteria_type,source_bNumber,source_fileName,time_year
"28 years found dead, drowned. domestic servant 21 years found dead, hanged herself whilst of unsound mind daughter of a bargeman . 3 months sudden spasm of glottis. son of a labourer 3 months malnutrition and improper food. daugher of an ostler . 12 months found dead in bed, suffocation. spinster of no occupation . 66 years sudden, disease of heart. daughter of a gardener. 7 months sudden, pneumonia. post mortem. chronometer maker . 46 years found dead, disease of heart. son of a labourer 4 years drowned accidentally. carpenter 65 years apoplexy. post mortem. son of a butcher 9",Fulham,spinster,single term search,b19953562,Fulham.1886.b19953562.txt,1886
"order granted for work to be done and 21s. costs 147 c.—statement showing number of inquests held during the year, from the 26th march, 1888, to 25th march, 1889. description. age. cause of death. no occupation 47 yrs. found dead. rupture of blood-vessel in the lungs. p.m. son of a spinster 20 mths. sudden. convulsions, teething. p.m. daughter of a cook 6 wks. sudden. spasm of glottis solicitor's clerk 76 yrs. sudden. disease of heart son of a cabman 3 mths. sudden. convulsions. p.m. daughter of a furniture porter 6 „ found dead in bed. accidental suffocation. p.m. coal porter",Fulham,spinster,single term search,b19953586,Fulham.1888.b19953586.txt,1888
"w. gentleman rev. e. adair midwinter, 35, blandford-square, n.w. vicar of st. paul's, m.a. lisson-grove mr. henry story perrin 31, st. john's wood park, manchester n.w. houseman rev. alfred scott, m.a. st. mary's vicarage, tad- vicar of st. mary's dington green, w. 206 miss charlotte e. cobb 25, randolph-crescent, w. spinster mrs. e. moore 19, park-place-villas, maida guardian hill, w. ton) miss emily perrin 31, st. john's wood park, spinster n.w. rev. john vezcy mason, 12, aberdeen - place, maida clergyman b.a. hill, n.w. fleet-road, hampstead group. brecknock, camden town. fleet-road, hampstead. great college-street, camden town. mr. e. barnes (chairman)",Paddington,spinster,single term search,b1995539x,Paddington.1888.b1995539x.txt,1888
"n.w. hampstead lodge, marlborough hill, n.w. the college, regent's park 20, elm tree-road, n.w. 18, seymour-st., portman-sq. w. 11, st. edmund's - terrace, regent's-park, n.w. 18, prinirose-hill-road, n.w. 5, stanley-gardens, hampstead, n.w. 2, chester-1 errace, regent'spark, n.w. literary gentleman no occupation ditto ditto clerk in holy orders no occupation widow spinster broom sleigh-street, west hampstead. mr. edmund barnes (member in charge and chairman) gen. o. douglas hamilton, 46, marylands - road, st. major-general ( vice-chairman) rev. e. davys, m.a. capt. r. ellis rev. w. j. watkins mrs. w. ii. edwards dr. john adam watson peter's - park, w. the parsonage,",Paddington,spinster,single term search,b1995542x,Paddington.1891.b1995542x.txt,1891
"pütz miss etheldred allen 20, elm tree-road, n.w. hampstead lodge, marlborough-hill, n.w. 5, ellerdale-road, hampstead, n.w. 20, elm tree-road, n.w. 16, gt. cumberland-place, w. 11, st. edmund's - terrace, rogent's-park, n.w. 5, stanley-gardens, hampstead, n.w. 2, chester-terrace, regent'spark, n.w. literary gentleman no occupation ditto ditto clerk in holy orders widow spinster broomsleigh-street, west hampstead. mr. edmund barnes (member in charge and chairman) gen. o. douglas hamilton, (vice-chairman) rev. e. davys, m.a. capt. r. ellis rev. w. j. watkins mrs. w. h. edwards dr. john adam watson dr. henry thornton wharton, m.a., oxon. 46, marylands - road, st. peter's - park,",Paddington,spinster,single term search,b19955431,Paddington.1892.b19955431.txt,1892
"public mortuary. during the year 15 bodies were deposited in the mortuary, as against 4 in the preceding year, and 17 in 1900. 7 inquests held during the year 1902 on deaths occurring in the district. no. month. sex. age. condition of life. cause of death. 1 january female 63 spinster accidental—fell off chair. 2 january female 3 weeks — accidental—suffocation in bed with mother. 3 march female new born — suffocation by some person unknown. 4 may male 63 clerk suicide. 5 may female 2 accidental—supposed to have taken berries of a poisonous nature. 6 june male 48 chemist",Southgate,spinster,single term search,b19794757,Southgate.1902.b19794757.txt,1902
unsound mind. 4 june male 2 — accidental. 5 june male 50 printer's machinist misadventure. 6 june male 65 stockbroker's clerk suicide whilst of unsound mind. 7 july male 39 accountant natural causes. 8 september female 54 housewife open verdict. 9 september female 20 typist accidental. 10 september female 20 spinster misadventure. 11 november female 69 independent means natural causes. 12 november male 50 commercial clerk natural causes. 9 table 1. vital statistics of whole district during 1920 and five previous years. year. population estimated at middle of each year. nett births belonging to district. nettdeaths belonging to the district.,Southgate,spinster,single term search,b19794873,Southgate.1920.b19794873.txt,1920
"cancer. there have been 67 deaths from cancer, 43 below the age of 65 years and 24 above the age of 65. the following table shows the occupations of the 67 persons who died from cancer during the year 1933. male. female. caterer 1 children's nurse (spinster) 1 clerks 5 spinster 1 confectioner and tobacconist 1 widows 13 driller, ship building 1 wives 16 factory managers 2 foreman, wholesale fruiterers 1 ganger 1 gas workers 3 hatter's assistant 1 house decorator 1 labourers 7 licensed victualler 1 locomotive fireman 1 retired (no occupation) 3 scaffolder 1 ship's steward 1 steel",Barking,spinster,single term search,b19784235,Barking.1933.b19784235.txt,1933
"12 6. cancer. there have been 74 deaths from cancer, 41 below the age of 65 years and 33 above the age of 65. the following table shows the occupations of the 74 people who died from cancer during the year 1934:— male. female. bootmaker 1 wives 27 bottler 1 spinster 1 bricklayer 1 widows 11 carpenters 2 civil servant 1 cleaner 1 coppersmith 1 cook 1 enameller 1 fishmonger 1 flusher 1 labourers 10 no occupation 2 porter 1 porter (house) 1 postman 1 printer 1 school attendance officer 1 scaffolders 2 travellers 2 warehouseman 1 35 39 80",Barking,spinster,single term search,b19784247,Barking.1934.b19784247.txt,1934
"the year ended december, 1935, was 1, which gives a maternal mortality rate of 0.9 per thousand (live and still) births, as compared with the rate for the whole country of 3'93 per thousand (live and still) births. particulars of this case are given below:— * situated in chelsea. 58 spinster (22).—admitted to hospital suffering from effects of a recent abortion with evidence of septic metritis. condition gradually deteriorated with severe toxaemia. died 48 days after admission to hospital. she had not sought any ante-natal care and in fact the evidence rather pointed to procured abortion. it is very satisfactory",CityofWestminster,spinster,single term search,b18247970,CityofWestminster.1935.b18247970.txt,1935
