contextText,location_fromMOH,searchCriteria_list1,searchCriteria_type,source_bNumber,source_fileName,time_year
"drew your attention to this pestilential heaping of human beings, and suggested to you its results ; and on many occasions, during the past year, complaints have been before your honourable court which have had their real and knot court. there were three families, each consisting of a man and wife and two or more children, in a small room, 15 feet by 8, all lying upon dirty rags on the floor. i found one of the children suffering under small-pox. the adjoining room was occupied by six grown up persons and two children."" in the circumstances to which my",CityofLondon,wife,single term search,b1825309x,CityofLondon.1849.b1825309x.txt,1849
"8, small pox 1. there have been 46 deaths above the age of 70, which is nearly an eightieth part of the number living at that age. there have been 146 deaths under 3 years of age. a case of typhus fever in johnson street, somers town, is thus registered:—""the wife of a coal dealer, aged 24 years, typhus (14 days), caused by a bad smell from a gully-hole acting on a predisposed constitution."" mr. dansey, the medical attendant, adds :—""the stench from the gully-hole outside the door was very bad, and on thursday, november 13th, the sewer was opened",StPancrasMetropolitanBorough,wife,single term search,b1825133x,StPancrasMetropolitanBorough.1856.b1825133x.txt,1856
"of putting an end to this nuisance would be to closely cover the pit, and carry the noxious fumes into the shaft, or to use oxyde of iron instead of wet lime as a purifier. i must add, that within the last few days, according to the statement of the wife of one of the complainants, made to me on the 31st january, and repeated by the complainant himself on 3rd february, the nuisance has, since my visit to the works, been much abated. mortality in rotherhithe during the month of january, 1856. the average number of deaths in rotherhithe",Rotherhithe,wife,single term search,b20083865,Rotherhithe.1856.b20083865.txt,1856
"generally; while publicans, wine merchants, waiters, tailors, laborers, and shoemakers live to the age of from 49.9 to 50.3. cabmen, carmen, ostlers, and draymen live only to 49.4; and soldiers, sailors, and policemen reach only to forty.eight years. a like difference exists in the longevity of females; for while the wife of the shopkeeper will live to be about fifty.seven years of age, and the domestic servant to 51.5, the wife of the publican and beer. shop.keeper, and the wife of the cabman and ostler will only reach to 44.2 and 48 years of age; and worse still, the poor",CityofLondon,wife,single term search,b18197292,CityofLondon.1856.b18197292.txt,1856
"the clerk, authorised by the board, as his deputy, to give the attendance at the office, required by the act, for the transaction of the ordinary business of the board. subsequently james burton was appointed foreman of the road labourers, at £1 1s. per week; and mr. perry and his wife were appointed messenger and housekeeper, at £1 per week. mrs. perry has been retained in the office of housekeeper, at 12s. per week, since the death of her husband in august, the office of messenger having been shortly afterwards discontinued. as regards the appointment of a scavenger for the",Lewisham,wife,single term search,b18245122,Lewisham.1856.b18245122.txt,1856
"avoided, were the poor man's dwelling pervaded by a sweeter atmosphere ? how much were the daughters of the poor not merely instructed in our schools but educated,—educated to refuse the evil and choose the good; educated to the homely work of that station of life to which each future wife and mother is destined ? how much, if the state were to withdraw its patronage from the nostrum-monger, and to discountenance the sale of infant poisons? if ever this opprobium of our civilization is to be wiped off, the clergyman, the district visitor, and the schoolmistress, must join in",IslingtonMetropolitanBorough,wife,single term search,b18248573,IslingtonMetropolitanBorough.1857.b18248573.txt,1857
"which, few when attacked, in cases not fatal, are able to resume work under 5 or 6 weeks, during which time not only is the patient frequently obliged to be supported out of the parochial rates, but when the father of the family is the victim of this disease, the wife and children must also be supported from the same fund. it is important to bear in mind, that on looking at the tables of mortality whenever the death rate from fever is low, the amount of suffering among the poor is diminished, (each fatal case showing 10 or 12",Whitechapel,wife,single term search,b19883328,Whitechapel.1857.b19883328.txt,1857
"houses in camden passage. no drainage. mr. russell landlord, shooters' hill road. two houses at bottom of square. •mrs. payne (widow) and daughter. privy, &c., same as above. pump-water offensive and cannot be used. water laid on by tenant lately. mr. russell landlord. garden cottage. mr. davis and one child. wife lately dead of phthisis. no drainage ; obliged to carry everything up to the pump sink in the road, which is often stopped up, when obliged to throw everything on the road. privy nearly full; emptied three years ago. no water supply, except to get it from pump, where",Lewisham,wife,single term search,b18245134,Lewisham.1857.b18245134.txt,1857
"in king's place, crosby row. my attention has been called to three tenements in gregory court, bermondsey square. complaint was made by a police constable, that they were overcrowded, unfit for human habitation and without water supply: as regards overcrowding, it appears that no. 2 is occupied by a man, wife and seven children, which would be undoubtedly more than could with safety to health occupy so small a tenement, but upon investigation it appears that three of the children sleep at no. 3, which is inhabited by an elderly female, the grandmother, who has lived there for 40 years,",Bermondsey,wife,single term search,b17997148,Bermondsey.1858.b17997148.txt,1858
"53 inquests which have been held upon persons dying in your district during the last three months, do not call for many observations. one of them, however, is rather remarkable, inasmuch as no post-mortem examination appears to have been instituted. the case was that of a youug woman, aged 17, wife of a surgeon, in the goodman's fields registration district, and is thus recorded "" found dead on the floor, apparently from natural causes."" another case, is that of a young man, aged 26, who was accidently crushed by a fall of three boxes of sugar, in consequence of the",Whitechapel,wife,single term search,b1988333x,Whitechapel.1858.b1988333x.txt,1858
"stored in some tub or pan in a corner, or under the bed. the air of these rooms was unbearable to a visitor, and to open the window was only to exchange one foul emanation for another. another case: in orange-court, a man of fifty was dying of consumption; his wife and eight children, mostly grown up, occupied with him a space of 1500 cubic feet only. seven persons above the age of puberty, with three young children, were found in church-lane, living in a room whose dimensions were about 1000 cubic feet, or just the allowance for one individual",StGilesCamden,wife,single term search,b1987554x,StGilesCamden.1858.b1987554x.txt,1858
"son of a commercial clerk, occurred in hawthorn street; another child of the same family subsequently had a mild attack, and on my visiting the house on june 2nd i found another of the children suffering from sore throat. the fifth death was of a female aged 39 years, the wife of a chemist who resided in arlington square. it ought to be known that caution should be exercised in communicating with persons suffering, during the prevalence of this epidemic, from any attack of sore throat, and when the characteristic features of diphtheria are recognized, the patient should be at",IslingtonMetropolitanBorough,wife,single term search,b18248585,IslingtonMetropolitanBorough.1858.b18248585.txt,1858
