contextText,location_fromMOH,searchCriteria_list1,searchCriteria_type,source_bNumber,source_fileName,time_year
"the costermonger and hawker, the bargeman and waterman, survive only to from forty-eight to forty-nine; and lastly, the printer and compositor lives to but forty-five, and the baker and confectioner to only forty-two. anions females the differences of occupation are 13 not so striking, except in the case of the wives of cabmen and publicans, where instead of living to the mean age of fifty-five, they die at forty-nine; and the poor needlewoman sinks into the grave at the average age of forty. the mean age at death of adult males in the city is fifty-one and of females fifty-five.",CityofLondon,wives,single term search,b18253155,CityofLondon.1856.b18253155.txt,1856
"proper. 3 during their stay there, they have cost the parish £142. 14s.; besides this, there has been the money necessarily expended on them during their period of convalescence, which we may fairly estimate at £100 more ; there has also been in many cases the cost of maintaining the wives and children during the illness of the fathers, and in others the cost of the permament maintenance of widows and orphans. the additional expense incurred by this last item, it is difficult to estimate ; but, at the very lowest, it cannot be less than £250. we thus have",StPancrasMetropolitanBorough,wives,single term search,b1825133x,StPancrasMetropolitanBorough.1856.b1825133x.txt,1856
"among domestic servants and nurses, yet this is easily explained by considering the infectious character of the disease, and the circumstances under which the subjects of it are placed. that home influences alone have much to do with the shortening of life is also evident from the fact that the wives of the several classes to which i have alluded are correspondingly short.lived. in the case of the laborer there is an apparent exception, for the longevity of the wife is greater than that of the shopkeeper; but this is explained by the fact that the laborer's wife is generally",CityofLondon,wives,single term search,b18197292,CityofLondon.1856.b18197292.txt,1856
"years old, sleeping together 1 neatsby court, ditto 8 28 65 no case of indecent occupation. 1 crown court, glasshouse street 12 44 160 1st case. aged mother, three sons, adults, and a child in one room rooms average 13 by 11 by 7 2nd do. two men, with their wives and three children, ditto 1 garden court, ditto 12 32 88 no case of indecent occupation. 1 providence court, ditto 8 17 49 1st case. mother and son, 18 years old, sleeping together 2nd do. father, mother, mother-in-law, and two children in one room 1 swan court, ditto 10",Whitechapel,wives,single term search,b19883365,Whitechapel.1861.b19883365.txt,1861
"the results of the last ten years show that of every 1,000 deaths in the city, 145 are paupers who die in the city workhouses. the classes that contribute most to this aggregate are labourers, porters, messengers, shoemakers, and tailors, among males; and domestic servants, nurses, charwomen, needlewomen, and the wives and widows of labourers and porters, among women. of a thousand males who die in the workhouses, 232 are labourers, 85 porters and messengers, 71 shoemakers, 63 tailors and cap-makers, 60 carpenters, and 56 shopkeepers; and of a thousand females who die there, 250 are domestic servants, nurses, and",CityofLondon,wives,single term search,b18253210,CityofLondon.1862.b18253210.txt,1862
"in horticulture, 1 music-mistress, 10 ix. actress, 5 engaged about animals, 1 intheatres, exhibitions 1 x. schoolmistress, 18 bookseller, publisher, 4 teacher of languages, 7 bookbinder, 24 general teacher, 7 printer, 2 governess, 50 others in publications, 6 other teachers, 3 in musical instruments, 3 iv. in maps, pictures, 4 wives (not oth. des.), 3801 artificial flower maker, 31 widows (not oth. des.), 329 toy maker, dealer, 4 children and relatives, 514 bow, bat, tackle, mak. 4 scholars (so described), 3 watchmkr. clockmkr 3 v. others, 1 innkeeper,hotelkeeper, 4 surgical instrumt. mak. 6 innkeeper's ""wife,"" 26 in manuf. of arms,",StJamess,wives,single term search,b19956125,StJamess.1863.b19956125.txt,1863
"earners) in our male population is much the same as in the metropolis generally, viz. 973 per 1000 over 20 years of age. i have no means of estimating those industrially occupied below this age. as to the females over 20 years of age in islington (including 1037 who being wives of innkeepers, publicans, lodging-housekeepers, shoemakers, shopkeepers, butchers, and farmers, are held by the compilers of the census return to be engaged in their husband's occupation) 19572 or 390 per 1000 were in 1861 engaged in some industrial bread-earning occupation. this is a comparatively small proportion, for in london generally",IslingtonMetropolitanBorough,wives,single term search,b18248640,IslingtonMetropolitanBorough.1864.b18248640.txt,1864
"unnecessary length. i would, however, remark that a few cases of overcrowding by the same families constantly recur. amongst widows with young families, this cannot always be prevented; but i have put the law vigorously in force against heads of families who preferred drinking to providing proper accommodation for their wives and children. several nuisances consisting of effluvia escaping from manufactories have been removed or mitigated during the year. the manufacture of varnish, at white post lane. hackney wick. 14 has been stopped under the provisions of the old building act; the burning of tar oil, commonly called dead oil,",Hackney,wives,single term search,b19885222,Hackney.1869.b19885222.txt,1869
"50 per cent. exceed that age ; thus showing that the danger arising from exposure in all weathers, is not nearly so great as that arising from deficient air, and want of exercise in open air. 20 it is a curious fact that more than one-third of the workmen have wives older than themselves. pauperism in the parish. the valuable returns issued by the board of guardians in october, 1870, and in january, 1872, enable me to study more closely the condition of people living in the various streets and districts, and the relation in which they stand towards pauperism",Paddington,wives,single term search,b19955224,Paddington.1871.b19955224.txt,1871
"waste of money and destruction to health and comfort by drink is incredible to those who do not care to study the question in its relation to public health and pauperism. if only half the money spent in low neighbourhoods were directed from the drink shop and appropriated by the wives of the men to domestic comfort, how changed would be the aspect of some of these streets and their denizens. the licensed public-houses are too often a veritable nuisance to a working-man's family so injurious are they to health and morals, that respectable inhabitants will sooner or later regard",Paddington,wives,single term search,b19955236,Paddington.1872.b19955236.txt,1872
