b_number,borough,file name,search_term_list_1,search_term_list_2,text extract,year,Keep?,Other notes,Category
b18248573,IslingtonMetropolitanBorough,IslingtonMetropolitanBorough.1857.b18248573.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","hydrocephalus 67 debility from premature birth 45 teething45 violent deaths 44 tabes mesenterica 40 scarlatina 32 how many of these children might have been preserved to an useful life, if poverty had not engendered apathy and ignorance neglect ? how much infant mortality throughout the country might in future be avoided, were the poor man's dwelling pervaded by a sweeter atmosphere ? how much were the daughters of the poor not merely instructed in our schools but educated,—educated to refuse the evil and choose the good; educated to the homely work of that station of life to which each future wife and mother is destined ? how much, if the state were to withdraw its patronage from the nostrum-monger, and to discountenance the sale of infant poisons? if ever this opprobium of our civilization is to be wiped off, the clergyman, the district visitor, and the schoolmistress, must join in the efforts of the professional sanitarian. 17. tables v. and vi. show where during the year the infant mortality has been most remarkable. you cannot fail to notice, in how many instances the locality of high infant mortality has corresponded with that of high mortality from zymotic diseases. sickness. 18.",1857,Yes,,Woman's duty as housewife
b18223096,Limehouse,Limehouse.1898.b18223096.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","the sanitary authority, and in what direction that power is deficient, and could profitably be strengthened by further legislation. a few of the causes of this high mortality are, i am afraid, irremediable, and hopelessly beyond the control of any sanitary authority. though aware of these conditions being beyond our control, yet that you may gauge their relative importance, i have recorded some of these, and shall briefly discuss them first. they may be divided into 6 groups:— 1. poverty. 2. illegitimacy. 3. overlaying. 4. unhealthy surroundings 5. hereditary diseases. 6. insurance. i. poverty.—on account of poverty and other causes, wives work in factories, &c., even when pregnant. they are known to work up to within a day or two of their confinement. these conditions expose the mother to all sorts of risks, and very often cause the child to be prematurely born. in 1898, 33 deaths were registered as being due to prematurity. the following list will give you the length of time the child lived:— 5 lived less than 1 hour. 6 „ from 1 hour to 24 hours. 9 „„1 day to 1 week. 9 „ „ 1 week to 1 month. 4 „ „ 1 month",1898,Yes,,
b18245754,PoplarandBromley,PoplarandBromley.1900.b18245754.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","to go into the streets, but wait for the ambulance to take him away. in spite of this being repeated to him several times, he persisted in leaving the hospital. no action was taken as the patient was seriously ill. continued and typhus fevers. one case of continued fever was notified in bromley, the patient, a man aged 40 years, was removed into the eastern fever hospital, but three days afterwards he was certified to be suffering from typhus fever. he was employed casually as a boilermaker and stevedore. he had been working on board ship in the docks. the wife who was an outworker, had her work stopped, and the garments she had in hand were disinfected before being returned to the workshop. typhoid fever. the typhoid fever cases notified were : — 1893. 1894. 1895. 1896. 1897. 1898. 1899. i900. poplar 80 72 56 85 61 68 143 90 bromley 218 84 80 68 87 51 92 1oo totals 298 156 136 153 148 119 235 190 32 1894. 1895. 1896. 1897. 1898. 1899. 1900 isleof dogsor south poplar 30 27 60 29 43 73 43 north poplar 42 29 25 32 25 70 47 south bromley 32",1900,Yes,,
b18038542,Finsbury,Finsbury.1900.b18038542.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","in ""their trade is so costly that no man can afford to have the whole of ""it; he therefore borrows from his friends, and they have to borrow ""three or four times in the course of the day. then there are the "" women who must take their work home, such as those who work "" for the city tailors, and the girls who are employed in small ""factories, such as those for artificial flowers this "" precarious element in the struggle for employment is thus a most ""powerful cause of the pressure upon habitable space ""the subsidiary employment of wife and children has to be taken ""into consideration when the poor choose a place of residence. ""whatever the contributions of these members of a family may be ""to the maintenance of the household, there is no doubt that the ""work of charwoman, of seamstress, and the labour in which ,,children are employed, attract great numbers to the densely 80 ""populated districts which provide such employment, and away ""from the suburbs where such work would be out of reach. there ""is, moreover, to be considered the difficulty many of the poor have ""in moving from a neighbourhood on account of",1900,Yes,,
b19794770,Southgate,Southgate.1905.b19794770.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","branches, and is provided with a four-inch sluice valve which would be opened to supply the three hydrants in case of fire. the medical and nursing staff consist of medical superintendent (non-resident), matron (nursing), two staff nurses, and one probationer nurse; and the domestic staff of cook, wardmaid, laundry maid, housemaid, and entrance lodge porter and his wife. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry, etc. visitors are allowed to visit patients on sundays from two to four o'clock, but are only allowed to communicate with the patients through the windows. if any patient is dangerously ill, special arrangements are made. the name of every person entering or leaving the premises, and the time of entry and exit, are entered in a book at the porter's lodge. patients from outside districts are admitted when there is sufficient accommodation for them ; the authorities of the districts from which they come paying the southgate council for their maintenance. the",1905,Yes,,
b18044712,BethnalGreen,BethnalGreen.1905.b18044712.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","in years when infantile mortality is heaviest is distinctly inferior to that of those born in more favourable years. the causes of this heavy mortality are not far to seek—poverty, ignorance and intemperance work out their natural consequence. as a result of insufficient means of housing, the infant breathes foul air in overcrowded rooms. want of knowledge on the part of the mother results in improper feeding and clothing, 21 and should intemperance be added to ignorance there is privation and neglect. poverty brings yet another evil result, for should the natural breadwinner be absent or out of employment the wife must surrender her maternal duties in order to do her part towards the support of the family. the law certainly prohibits the employment of a woman in a factory or workshop for the four weeks subsequent to her confinement, and is good (when not evaded) so far; but the month old infant deprived of maternal care and natural food has its chance of surviving enormously diminished. a large number of the infantile deaths in bethnal green are amongst the bottle fed children of working class parents. the poverty which compels mothers to go out to work transfers their infants,",1905,Yes,,
b20056898,Southwark,Southwark.1907.b20056898.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","children of different sexes under six years of age are allowed in the bath rooms at the same time. cards admitting persons to the bathing station are put into the hands of the nurses for their use. on the same day as the school children are bathed and their clothes disinfected, the bedding upon which they have been sleeping is also collected, disinfected and returned home. the rooms are also fumigated, and when necessary, the paper is stripped off the walls. cases of verminous casuals are received on any day of the week and attended to. a man and his wife are engaged for the bath rooms, the woman attending to the bathing and cleansing of the children and women, and the man to big boys and adult males. 66 flannel gowns are provided for use whilst the verminous clothing is being disinfected. in order to ensure the smooth working of matters an officer visits early in the morning the cases of school children to be bathed during the day, so that the parents may be informed of our mode of procedure. hitherto our practice of removing the bedding at the same time has been carried out without undue irritation.",1907,Yes,,
b19794794,Southgate,Southgate.1908.b19794794.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","is provided with a 4-in. sluice valve which would be open to supply the three hydrants in case of fire. the medical and nursing staff consist of medical superintendent (non-resident), matron (nursing), two staff nurses, and one probationer n urse ; and the domestic staff of cook, wardmaid, laundrymaid, housemaid, and entrance lodge porter and his wife. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. 24 the porter's wife assists, when required, in the laundry etc. visitors are allowed to visit patients on sundays from two to four o'clock, but are only allowed to communicate with the patients through the windows. if any patient is dangerously ill, special arrangements are made. the name of every person entering or leaving the premises, and the time of entry and exit, are entered in a book at the porter's lodge. patients from outside districts are admitted when there is sufficient accommodation for them ; the authorities of the districts from which they come paying the southgate council for their maintenance. the",1908,Yes,,
b19794800,Southgate,Southgate.1909.b19794800.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","passes through a meter on a bye.pass into a 4.in. main with 3.in. branches, and is provided with a 4.in sluice valve which would be open to supply the three hydrants in case of fire. as a protection against fire, a hose reel containing fire.hose, stand.pipes, etc., has been provided, and communication with the council's chief fire siation can be made by telephone. the medical and nursing staff consist of medical superin tendent (non.resident), matron (nursing), two staff nurses, and one probationer nurse ; and the domestic staff of cook. ward. maid, laundrymaid, housemaid, and entrance lodge porter and his wife the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry, etc. visitors are allowed to visit patients on sundays from two to four o'clock, but are only allowed to communicate with the patients through the windows. if any patient is dangerously ill, special arrangements are made. the name of every person entering or leaving the premises, and the time of",1909,Yes,,
b19794812,Southgate,Southgate.1913.b19794812.txt,"wife,wives","employment,employed,employee,work,working,worked,job,occupation","station can be made by telephone. the medical and nursing staff consist, at present, of medical superintendent (non-resident), matron (nursing), three staff nurses, and two probationers ; and the domestic staff of cook, wardmaid, laundrymaid, housemaid, general, and entrance lodge porter and his wife. when all the wards are fully occupied a larger staff of nurses are required. the medical superintendent's residence is connected with the hospital by telephone. the porter's duties consist of looking after the entrance lodge, checking all entries and exits, and working the steam disinfector, etc. his spare time is spent in the gardens. the porter's wife assists, when required, in the laundry, etc. relatives and friends are allowed to visit patients on sunday afternoons from two to four o'clock, but are only allowed to communicate with the patients through the windows. if any patient is dangerously ill, special arrangements are made. patients from outside districts, other than friern barnet, with whom there is a special agreement, are admitted when there is sufficient accommodation for them ; the authorities of the districts from which they come paying the southgate council for their maintenance. 27 the cost of feeding staff and patients during the past year averaged",1913,Yes,,
