b_number,bigram terms,borough,file name,search criteria,text extract,year,borough name (normalised),list of search terms,Keep?,Further notes,View offered of married women's work,Married women's work discussed in the context of motherhood,Occupation type
b18248640,"married,women",IslingtonMetropolitanBorough,IslingtonMetropolitanBorough.1864.b18248640.txt,bigram + list of terms,"chest (excluding phthisis), the result of exposure, and from miasmatic diseases, probably derived from their residences. They exhibit a high proportion of fatal liver disease. The high proportion of heart disease is probably the result, through rheumatism or bronchitis, of exposure to cold and we.t. 16. Schoolmasters.—Only a small proportion of these died, the expectation of life, from our limited experience, being 34 years. b. FEMALES. The rate of mortality of females following industrial occupations cannot be estimated, nor yet, fairly, the average age at death, in consequence of the imperfection of the mortuary returns, which in the instance of married women do not in all cases specify the occupation followed. The particulars as to the cause of death, as given in Table XIV., are open to fewer crbjections on this score. Dressmakers and Milliners appear to die to a large extent from consumption, 42 per cent, of the deaths being attributable to this cause. There is no difficulty in associating this with the damage inflicted upon the health from excessive and late hours of work in close, crowded, and confined rooms, together with deficient bodily exercise. The large proportion of young persons following these occupations, who at a later",1864,Islington,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not appplicable/No view,No,Unspecified
b19955212,"married,women",Paddington,Paddington.1870.b19955212.txt,bigram + list of terms,"class, are now becoming absolutely essential to preserve healthy vitality, and save the risk which threatens large numbers of persons from a gradual degeneration. Abundant proof of this can be found in the more thickly populated parts of this wealthy Parish. A few hundred pounds would be amply repaid in health and in having the satisfaction of some benefit for rates, while the diminution of pauperism would soon be manifest. 25 Female Labour. Female labour is on a very unsatisfactory footing— young women living at home with their parents, certainly earn wages which contribute partly to their maintenance ; some married women work far below the fair value of labour to supplement the wages of a husband whose work is casual and uncertain, often from drunkenness ; female labour even attempts to compete with manufacturing establishments ; some married women again, who erroneously desire to utilize their spare time in working for shops, neglect domestic duties, and thus lower the price of female labour of single women. The worst cases, however, are those of the solitary sempstress, prolonging her hours of work in a small close room, or working by candle light, far into the night, bringing about some debilitating",1870,City of Westminster,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,No,"Retail, Factory, Unspecified"
b17997598,"married,women",BethnalGreen,BethnalGreen.1893.b17997598.txt,bigram + list of terms,"known as the Domestic Workshop, and the establishment of Cretches would provide for the occasional absence of the mother, should she get a day's washing or charing. Moreover, it would not be impossible to utilize these establishments for educational purposes, and some plain and simple instructions in the feeding of infants might be given to the mothers who bring children to be taken care of. I have made some enquiries amongst the manufacturers in my district and also amongst the women themselves. I find that the employment of child-bearing women is not very prevalent in large Factories and Workshops. The married women mostly work at home at Boxmaking, Tailoring, or Bootwork. Factory Owners tell me that the proportion of married women among their female hands does not exceed five per cent., and some of these are widows. Occasionally their female hands continue their occupation for a time after marriage, but if they become pregnant they leave the Factory six or eight weeks before the expected confinement. Some employers say they will not be bothered with women who have children and decline to allow them to return, as they are apt to be irregular in attendance, and frequently kept at home",1893,Tower Hamlets,"employment,employed,employee,work,working,worked,job,occupation",Yes,check later text,Neutral,Yes,"Laundry, Domestic Service, Outwork, Factory"
b19971011,"married,women",Walthamstow,Walthamstow.1902.b19971011.txt,bigram + list of terms,"Walthamstow General Hospital, and the remainder, 17, to various London Hospitals. Factory and Workshop Act.—The number of premises registered under the Factory and Workshop Act has increased from 216 to 501, in consequence of the obligation cast upon authorities to communicate to each other semi-annually the names and addresses of any ""Outworkers"" residing in their respective districts. The work of inspection of these premises is most complicated by the constant changes in the lists, half of each succeeding list consisting of new names in place of the old ones who have ceased to be employed. Many of the outworkers being married women working at home, anxious to add to the family income, work under fair sanitary conditions, and it is rare to find any cause for complaint. The various matters dealt with have been supplied to, and are dealt with in the report of, the Medical Officer of Health. The special premises periodically visited, besides Factories and Workshops, include:— Slaughterhouses 12 Dairies, Cowsheds and Milk Sellers 99 Fishmongers 39 Offensive Trades 3 Only minor causes of complaint were discovered in any of these, which were readily attended to by occupiers when pointed out. The two premises situate in the Northern",1902,Waltham Forest,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Positive,No,Outwork
b18245195,"married,women",PaddingtonMetropolitanBorough,PaddingtonMetropolitanBorough.1904.b18245195.txt,bigram + list of terms,"(the lowest). TABLE 5. (Census, 1901.) Of 1,000 Females aged 15-45 Proportion occupied per 1,000. Unmarried. Married. Females 15-45. Married and Widowed, 15 years and upwards. Borough 621 354 534 165 London 524 448 466 172 Kensington 688 284 602 234 Westminster 648 320 629 267 Marylebone 634 334 601 250 Hampstead 708 561 128 Willesden 465 513 377 115 Note.—The Condensed Tables of Occupations do not distinguish the ages of ""married and widowed"" engaged in occupations. No female under 15 years of age was returned as married at the last Census. The birth-rate ought to be calculated on the married women of child-bearing ages, due correction being made for the births of illegitimate children. Unfortunatelv the whole of the data necessary for such correction are not available. In Table 6 rates are given based on all births, and also on legitimate and illegitimate, as far as can be done. The table at present gives but little information ; but continued for a series of years, will afford a clear indication of the changes in the fruitfulness of marriage and the improvement (or deterioration) in the morality of the various districts. The only point to which attention need be called",1904,City of Westminster,"employment,employed,employee,work,working,worked,job,occupation",Yes,This is a table - would need to extract the whole thing for it to be useful and the text above it,Not applicable/no view,No,Unspecified
b18047257,"married,women",Islington,Islington.1904.b18047257.txt,bigram + list of terms,"the Boiler Makers Society members deaths from all causes were 47, from phthisis 38½ wives of members from all causes 43, from phthisis 35½ Among Railway Servants from all causes 44½, from phthisis 36½. Thus we see that the question of the prevention of tuberculosis is of the very utmost importance to Friendly Societies, and to Sick Benefit Societies generally, and, therefore, to working men. A POOR LAW QUESTION. But outside of these Societies there is a huge mass of humanity who have no Society to look to, labourers, persons in casual employment, widows, orphans, and especially single women, or married women deserted by their husbands, who earn a precarious livelihood, and whose ultimate fate is to flee to the workhouses and their infirmaries when disease overtakes them. The prevention of phthisis is, therefore, a great question for those engaged in Poor Law Administration, as well as for Sanitary Authorities. And here let me state that something of this has dawned on the Islington Guardians, for they are now through their Relieving Officers notifying cases of the disease which come under their notice. All of them had, however, previously been removed to hospital or had died. The figures as to",1904,Islington,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,Unspecified
b18252539,"married,women",LondonCountyCouncil,LondonCountyCouncil.1904.b18252539.txt,bigram + list of terms,"In better social position they form the class of ' delicate' children. ""The majority of 'ill-nourished' children are so from a complexity of causes, of which want of food during school life is a comparatively trivial one. ""Frequently they seem the offspring of people who from inherent want of efficiency, mental or otherwise, have gone to the wall. These most often present evidences of mental slackness, and with this is associated in great measure alcoholism and its associates, want of regular employment, and poor housing. Insufficient rest for the young children is a frequent contributory cause due to housing. ""The married women also have to work, and infants are artificially fed; a want of cheap milk supply leading to the use of tinned milks deficient in fat, and also of preparations of various foods. 'The children are frequently fed on foods which are savoury from containing stimulating extractive matters their debilitated condition leading to their passing over wholesome food which is not tasty. The want of a sufficiency of fat and perhaps sugar is the chief defect noticeable in children's diets. ""Ill-nutrition associated with heredity and home conditions is due to deeper causes than any school feeding yet attempted is",1904,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Unspecified
b18106614,"married,women",Islington,Islington.1905.b18106614.txt,bigram + list of terms,"whose premises are subject to inspection. The system of giving out work to be done by home-workers does not appear to be a desirable one, and is to a great extent responsible for certain evils in the industrial world. Homework is done mostly by women who are unskilled and unorganised, and thus without the means of insisting upon a proper wage. When the work is sublet several times, as frequently happens, the wages paid to the final Outworker must necessarily be low, even if a fair wage be paid in the first instance. The work is also frequently done by married women who do not absolutely require to work, and so work for a small wage, in this way bringing down the earnings of all. There seems to be an increasing tendency amongst employers to employ Table CXX. Giving a Summary of Miss Brown's Workshop Work during the Year 1905. Register. Inspections. Forms and Notices. Sanitary Defects Discovered. Improvements Effected. 1905 Quarter ending. Number of Workshops. Number of Laundries. Additions To. Removals From. Total. Number of Workrooms. Registered Workshops, &c. Homeworkers' Premises. Restaurant Kitchens. Miscellaneous. Total. Calls and Re-inspections. Workrooms. Workshops Reported to H.M. Inspector. Homeworkers notified to Local Authorities.",1905,Islington,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,No,Outwork
b18044578,"married,women",Chelsea,Chelsea.1905.b18044578.txt,bigram + list of terms,"obtained in 1905, with an average of nine cases per week. It would appear that about 25 per cent. of the births are attended by registered midwives, but as the available statistics cover a short period only, the conclusions can hardly be taken as final. The majority of the infants are breast fed, at all events for the first few weeks. Only a comparatively small number of mothers in this district go to work regularly and leave their children in charge of others. As there are few factories and laundries in the neighbourhood as compared with other districts further west, married women have limited opportunity of getting work other than as domestic servants or charwomen, so there would appear to be little inducement for them to do so. In some cases, however, mothers, who would otherwise have been able to nurse their infants, were obliged to partially wean them in order to go to work. The percentage of those who did so was increased during the winter quarter, the period which corresponded to the time when the 45 greatest number of men were out of employment. The mothers of illegitimate children are almost invariably obliged to go to work, so",1905,Kensington and Chelsea,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,"Domestic Service, Factory, Laundry"
b19823307,"married,women",Woolwich,Woolwich.1905.b19823307.txt,bigram + list of terms,"hoped that this cause may soon no longer exist. The average level of the streets is 6ft. below Trinity high water mark. This must mean that the ground is to a large extent waterlogged, and that ground air is forced into those houses not sufficiently protected with concrete, twice daily. A large part of the ground, too, was made up with house refuse, and consequently the soil and ground air is impure. Owing to the existence of large factories employing female labour in the Borough, and in the adjoining part of West Ham, it is probable that the number of married women employed away from home exceeds that in the whole Borough. This would mean more hand-fed children and more Diarrhoea. The Lady Inspector is giving special attention to this district, and an improvement is to be anticipated before long. 69. The rate in Eltham exceeded that in the Borough, for the first time since 1901. 70. Voluntary Notification of Zymotic Enteritis was instituted during the summer quarter, and a full report on the results obtained is found in an appendix, with the method adopted and action taken in notified cases. The following leaflet is given to the mother of",1905,Greenwich,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Factory
